idProducto;nombre;categoria;precioNormal;cantidadStock;fechaCaducidad
00000001;Leche entera 1L;ALIMENTACION;1,25;120;2025-06-20
00000002;Pan de molde integral 500g;ALIMENTACION;1,95;85;2025-06-25
00000003;Huevos blancos docena;ALIMENTACION;2,50;60;2025-06-18
00000004;Arroz blanco 1kg;ALIMENTACION;1,10;150;2025-06-22
00000005;Aceite vegetal 900ml;ALIMENTACION;2,90;75;2025-06-17
00000006;Pasta espagueti 500g;ALIMENTACION;1,20;130;2025-06-19
00000007;Harina de trigo 1kg;ALIMENTACION;1,00;90;2025-06-26
00000008;Azúcar blanca 1kg;ALIMENTACION;1,15;100;2025-06-23
00000009;Sal fina 1kg;ALIMENTACION;0,50;110;2025-06-27
00000010;Café molido 250g;ALIMENTACION;3,80;40;2025-06-24
00000011;Té verde 20 bolsas;ALIMENTACION;2,10;55;2025-06-28
00000012;Detergente líquido 1L;VIVIENDA;3,75;70;2025-07-01
00000013;Papel higiénico 12 rollos;VIVIENDA;4,95;60;2025-07-03
00000014;Jabón de baño 3 unidades;SALUD;2,25;80;2025-06-21
00000015;Shampoo 400ml;SALUD;3,60;65;2025-06-29
00000016;Manzanas rojas 1kg;ALIMENTACION;2,30;50;2025-06-20
00000017;Bananas 1kg;ALIMENTACION;1,00;90;2025-06-19
00000018;Pechuga de pollo 1kg;ALIMENTACION;5,20;35;2025-06-18
00000019;Carne molida de res 1kg;ALIMENTACION;6,30;40;2025-06-17
00000020;Queso cheddar 200g;ALIMENTACION;2,70;45;2025-06-16
00000021;Yogur natural 1kg;ALIMENTACION;2,40;55;2025-06-15
00000022;Mantequilla 250g;ALIMENTACION;2,95;40;2025-06-14
00000023;Galletas de avena 300g;ALIMENTACION;1,85;70;2025-06-13
00000024;Cereal de maíz 500g;ALIMENTACION;3,20;60;2025-06-12
00000025;Refresco cola 2L;ALIMENTACION;1,90;100;2025-06-11
00000026;Agua embotellada 1.5L;ALIMENTACION;0,85;150;2025-06-10
00000027;Salsa de tomate 350g;ALIMENTACION;1,30;80;2025-06-09
00000028;Mayonesa 500g;ALIMENTACION;2,10;65;2025-06-08
00000029;Jugo de naranja 1L;ALIMENTACION;2,50;45;2025-06-07
00000030;Helado de vainilla 1L;ALIMENTACION;3,75;30;2025-06-06
00000031;Pasta dental 90g;SALUD;1,35;90;2025-06-05
00000032;Alcohol en gel 250ml;SALUD;2,50;75;2025-06-04
00000033;Vitaminas C 60 tabletas;SALUD;5,60;40;2025-06-03
00000034;Termómetro digital;SALUD;7,20;30;2025-06-02
00000035;Toalla sanitaria 10 unidades;SALUD;2,80;100;2025-06-01
00000036;Desinfectante multiusos 1L;VIVIENDA;3,40;70;2025-07-02
00000037;Fósforos caja x 3;VIVIENDA;0,75;120;2025-07-04
00000038;Bombilla LED 9W;VIVIENDA;1,50;95;2025-07-05
00000039;Escoba plástica;VIVIENDA;3,90;60;2025-07-06
00000040;Trapeador de microfibra;VIVIENDA;4,20;27;2025-07-07
00000041;Sábanas cama matrimonial;VIVIENDA;18,50;25;2025-07-08
00000042;Cortinas de baño;VIVIENDA;9,75;30;2025-07-09
00000043;Cuaderno universitario 100 hojas;EDUCACION;2,10;80;2025-06-30
00000044;Bolígrafos (pack x10);EDUCACION;1,90;100;2025-06-29
00000045;Mochila escolar básica;EDUCACION;14,00;17;2025-06-28
00000046;Lápices de colores 12 unidades;EDUCACION;2,95;60;2025-06-27
00000047;Regla de 30cm;EDUCACION;0,85;88;2025-06-26
00000048;Pegamento escolar 120ml;EDUCACION;1,25;58;2025-06-25
00000049;Camiseta de algodón talla M;VESTIMENTA;6,50;45;2025-06-24
00000050;Pantalón jeans talla 32;VESTIMENTA;18,90;35;2025-06-23
00000051;Zapatos deportivos talla 42;VESTIMENTA;29,50;25;2025-06-22
00000052;Calcetines algodón (pack x3);VESTIMENTA;3,20;60;2025-06-21
00000053;Abrigo ligero talla L;VESTIMENTA;35,00;20;2025-06-20
